LiCl,,,,,,,NaI,,,,,,,
Br Pure,r+50,Br+100,Br+150,Br+200,Br+250 ,,Br Pure,Br+50,Br+100,Br+150,Br+200,Br+250,,
0.482,0.107,0.019,0.005,-0.003,-0.005,,0.178,0.045,0.004,-0.002,-0.004,-0.002,476,
0.485,0.108,0.019,0.005,-0.003,-0.005,,0.181,0.045,0.004,-0.002,-0.004,-0.002,476.5,
0.489,0.109,0.019,0.005,-0.003,-0.005,,0.183,0.046,0.004,-0.002,-0.004,-0.002,477,
0.491,0.109,0.019,0.005,-0.003,-0.005,,0.186,0.046,0.004,-0.002,-0.004,-0.002,477.5,
0.494,0.109,0.019,0.005,-0.003,-0.005,,0.188,0.046,0.004,-0.002,-0.004,-0.002,478,
0.496,0.109,0.019,0.005,-0.003,-0.005,,0.19,0.047,0.004,-0.002,-0.004,-0.002,478.5,
0.497,0.11,0.019,0.005,-0.003,-0.006,,0.192,0.047,0.004,-0.002,-0.004,-0.002,479,
0.497,0.11,0.019,0.005,-0.003,-0.006,,0.193,0.047,0.004,-0.002,-0.005,-0.002,479.5,
0.498,0.11,0.019,0.005,-0.003,-0.005,,0.195,0.047,0.004,-0.002,-0.004,-0.002,480,
0.498,0.11,0.019,0.005,-0.003,-0.005,,0.197,0.047,0.004,-0.002,-0.004,-0.002,480.5,
0.497,0.109,0.019,0.005,-0.003,-0.005,,0.198,0.047,0.004,-0.002,-0.004,-0.002,481,
0.496,0.109,0.019,0.005,-0.003,-0.005,,0.198,0.047,0.004,-0.002,-0.005,-0.002,481.5,
0.494,0.108,0.019,0.005,-0.003,-0.006,,0.199,0.047,0.004,-0.002,-0.005,-0.002,482,
0.492,0.108,0.019,0.005,-0.003,-0.006,,0.2,0.047,0.004,-0.002,-0.004,-0.002,482.5,
0.489,0.107,0.019,0.005,-0.003,-0.006,,0.2,0.046,0.004,-0.002,-0.004,-0.002,483,
0.486,0.106,0.018,0.005,-0.003,-0.006,,0.2,0.046,0.003,-0.002,-0.004,-0.002,483.5,
0.483,0.105,0.018,0.005,-0.003,-0.006,,0.2,0.046,0.003,-0.003,-0.005,-0.002,484,
0.479,0.104,0.018,0.004,-0.003,-0.006,,0.2,0.046,0.003,-0.003,-0.005,-0.002,484.5,
0.474,0.103,0.018,0.004,-0.003,-0.006,,0.2,0.045,0.003,-0.003,-0.005,-0.003,485,
0.47,0.102,0.017,0.004,-0.004,-0.006,,0.199,0.045,0.003,-0.003,-0.005,-0.003,485.5,
0.465,0.101,0.017,0.004,-0.004,-0.006,,0.198,0.044,0.003,-0.003,-0.005,-0.003,486,
0.459,0.099,0.017,0.004,-0.004,-0.006,,0.197,0.044,0.003,-0.003,-0.005,-0.003,486.5,
0.453,0.098,0.016,0.004,-0.004,-0.006,,0.196,0.043,0.002,-0.003,-0.005,-0.003,487,
0.446,0.096,0.016,0.004,-0.004,-0.006,,0.194,0.043,0.002,-0.003,-0.005,-0.003,487.5,
0.44,0.095,0.016,0.003,-0.004,-0.006,,0.193,0.042,0.002,-0.003,-0.005,-0.003,488,
0.433,0.093,0.015,0.003,-0.004,-0.006,,0.191,0.041,0.002,-0.003,-0.005,-0.003,488.5,
0.425,0.091,0.015,0.003,-0.004,-0.006,,0.189,0.041,0.002,-0.003,-0.005,-0.003,489,
0.418,0.089,0.014,0.003,-0.004,-0.006,,0.187,0.04,0.001,-0.003,-0.005,-0.004,489.5,
0.41,0.088,0.014,0.003,-0.004,-0.006,,0.185,0.039,0.001,-0.004,-0.005,-0.004,490,
0.401,0.086,0.013,0.003,-0.004,-0.006,,0.183,0.039,0.001,-0.004,-0.005,-0.004,490.5,
0.393,0.084,0.013,0.002,-0.004,-0.006,,0.18,0.038,0.001,-0.004,-0.005,-0.004,491,
0.384,0.082,0.013,0.002,-0.005,-0.006,,0.177,0.037,0.001,-0.004,-0.005,-0.004,491.5,
0.375,0.08,0.012,0.002,-0.005,-0.007,,0.174,0.036,0.001,-0.004,-0.005,-0.004,492,
0.366,0.078,0.012,0.002,-0.005,-0.007,,0.171,0.035,0,-0.004,-0.005,-0.005,492.5,
0.356,0.075,0.011,0.001,-0.005,-0.007,,0.168,0.034,0,-0.004,-0.006,-0.005,493,
0.346,0.073,0.011,0.001,-0.005,-0.007,,0.164,0.033,0,-0.004,-0.006,-0.005,493.5,
0.336,0.071,0.01,0.001,-0.005,-0.007,,0.16,0.032,0,-0.004,-0.006,-0.005,494,
0.325,0.068,0.01,0.001,-0.005,-0.007,,0.157,0.031,0,-0.004,-0.005,-0.005,494.5,
0.315,0.066,0.009,0.001,-0.005,-0.007,,0.153,0.03,-0.001,-0.004,-0.006,-0.005,495,
0.304,0.064,0.009,0.001,-0.005,-0.007,,0.148,0.029,-0.001,-0.004,-0.006,-0.005,495.5,
0.293,0.061,0.008,0,-0.005,-0.007,,0.144,0.028,-0.001,-0.005,-0.006,-0.005,496,
0.282,0.059,0.008,0,-0.005,-0.007,,0.139,0.027,-0.001,-0.005,-0.006,-0.005,496.5,
0.271,0.056,0.007,0,-0.005,-0.007,,0.135,0.026,-0.002,-0.005,-0.006,-0.005,497,
0.26,0.054,0.007,0,-0.005,-0.007,,0.13,0.024,-0.002,-0.005,-0.006,-0.005,497.5,
0.248,0.051,0.006,0,-0.005,-0.007,,0.125,0.023,-0.002,-0.005,-0.006,-0.005,498,
0.237,0.048,0.005,-0.001,-0.006,-0.007,,0.12,0.022,-0.002,-0.005,-0.006,-0.005,498.5,
0.226,0.046,0.005,-0.001,-0.006,-0.007,,0.115,0.021,-0.002,-0.005,-0.006,-0.005,499,
0.214,0.043,0.004,-0.001,-0.006,-0.007,,0.109,0.019,-0.003,-0.005,-0.006,-0.005,499.5,
0.203,0.041,0.004,-0.001,-0.006,-0.007,,0.104,0.018,-0.003,-0.005,-0.006,-0.005,500,
0.191,0.038,0.003,-0.001,-0.006,-0.007,,0.098,0.017,-0.003,-0.005,-0.006,-0.005,500.5,
0.181,0.036,0.003,-0.001,-0.006,-0.007,,0.093,0.016,-0.003,-0.005,-0.006,-0.005,501,
0.17,0.033,0.002,-0.002,-0.006,-0.007,,0.088,0.014,-0.003,-0.005,-0.006,-0.005,501.5,
0.159,0.031,0.002,-0.002,-0.006,-0.007,,0.083,0.013,-0.004,-0.005,-0.006,-0.005,502,
0.148,0.028,0.001,-0.002,-0.006,-0.007,,0.077,0.012,-0.004,-0.006,-0.006,-0.005,502.5,
0.138,0.026,0.001,-0.002,-0.006,-0.007,,0.072,0.011,-0.004,-0.005,-0.006,-0.005,503,
0.128,0.024,0,-0.002,-0.006,-0.007,,0.067,0.01,-0.004,-0.006,-0.006,-0.005,503.5,
0.118,0.022,0,-0.003,-0.007,-0.007,,0.061,0.008,-0.005,-0.006,-0.006,-0.005,504,
0.108,0.019,-0.001,-0.003,-0.007,-0.007,,0.056,0.007,-0.005,-0.006,-0.006,-0.005,504.5,
0.099,0.017,-0.001,-0.003,-0.007,-0.007,,0.052,0.006,-0.005,-0.006,-0.006,-0.005,505,
0.091,0.016,-0.001,-0.003,-0.007,-0.007,,0.047,0.005,-0.005,-0.006,-0.006,-0.005,505.5,
0.083,0.014,-0.002,-0.003,-0.007,-0.007,,0.043,0.004,-0.005,-0.006,-0.006,-0.005,506,
0.075,0.012,-0.002,-0.003,-0.007,-0.007,,0.039,0.004,-0.006,-0.006,-0.006,-0.006,506.5,
0.068,0.01,-0.003,-0.003,-0.007,-0.007,,0.034,0.003,-0.006,-0.006,-0.007,-0.006,507,
0.061,0.009,-0.003,-0.004,-0.007,-0.007,,0.031,0.002,-0.006,-0.006,-0.007,-0.006,507.5,
0.054,0.007,-0.003,-0.004,-0.007,-0.007,,0.027,0.001,-0.006,-0.006,-0.007,-0.006,508,
0.048,0.006,-0.004,-0.004,-0.007,-0.007,,0.024,0,-0.006,-0.006,-0.007,-0.006,508.5,
0.043,0.004,-0.004,-0.004,-0.007,-0.008,,0.021,0,-0.006,-0.006,-0.007,-0.006,509,
0.038,0.004,-0.004,-0.004,-0.007,-0.007,,0.018,-0.001,-0.006,-0.006,-0.007,-0.006,509.5,
